"Meddr료vne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, DR꾀VLJANSTVO"
", SPOL"

" ";" ";"2000";" ";" ";" ";"2001";" ";" ";" ";"2002";" ";" ";" ";"2003";" ";" ";" ";"2004";" ";" ";" ";"2005";" ";" ";" ";"2006";" ";" ";" ";"2007";" ";" ";" ";"2008";" ";" ";" ";"2009";" ";" ";" ";"2010";" ";" ";" ";"2011";" ";" ";" ";"2012";" ";" ";" ";"2013";" ";" ";" ";"2014";" ";" ";" ";"2015";" ";" ";" ";"2016";" ";" ";" "
" ";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" ";"Dr료vljani Republike Slovenije";" ";"Tuji dr료vljani";" "
" ";" ";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske";"Mo뚊i";"꾠nske"
"Priseljeni iz tujine"
" ";"0-4 let";17;18;65;75;30;36;96;89;53;48;114;94;64;57;116;107;50;47;119;106;162;151;183;142;260;223;204;164;125;109;285;281;290;264;463;425;209;188;348;315;211;183;304;315;208;163;276;263;220;197;292;279;118;103;334;288;130;140;323;254;137;120;334;278;133;117;286;260
" ";"5-9 let";22;11;49;71;19;22;69;77;19;31;85;82;22;25;87;96;41;23;77;89;57;32;122;114;36;38;154;138;20;30;256;217;63;40;300;284;52;57;351;292;58;47;227;178;61;48;206;214;70;51;262;237;48;35;266;253;45;60;298;237;61;62;369;312;70;58;311;307
" ";"10-14 let";15;14;66;51;20;28;59;61;29;27;61;76;17;21;77;79;34;30;75;68;23;25;152;122;22;16;176;150;26;31;236;231;34;35;312;248;40;51;309;275;29;38;203;166;39;24;209;188;28;23;243;217;23;26;249;205;34;39;257;209;36;42;379;279;41;41;326;280
" ";"15-19 let";26;35;152;94;30;20;169;138;40;20;250;150;27;20;286;161;39;27;414;174;42;31;612;274;43;23;857;293;36;40;1064;363;59;57;750;387;64;59;698;369;41;39;288;314;56;51;294;250;40;38;353;307;41;29;365;313;49;42;414;334;51;39;486;375;50;53;530;414
" ";"20-24 let";40;36;718;252;43;39;886;461;64;50;970;497;60;33;1029;503;68;42;1202;435;74;51;1956;607;55;46;3085;601;54;65;4481;767;90;55;4044;825;115;92;3831;1081;74;52;1187;762;80;55;796;689;58;44;872;820;52;31;802;714;63;49;750;700;67;73;807;703;69;75;1042;752
" ";"25-29 let";38;36;739;253;50;45;850;378;66;71;974;399;61;55;989;415;106;50;1120;393;109;59;1771;551;94;59;2629;532;73;49;4173;797;116;86;4232;928;137;82;4265;1066;126;75;1518;776;118;109;1050;780;109;69;1223;839;104;75;1108;763;106;79;941;745;148;97;1103;782;144;123;1223;746
" ";"30-34 let";30;38;548;172;41;53;659;235;69;55;757;272;64;58;811;268;100;51;955;214;90;56;1434;392;77;52;2021;425;78;78;3379;590;152;104;3202;738;157;117;3251;815;152;112;1112;543;161;148;913;547;136;114;1100;593;109;88;980;535;134;120;949;567;182;134;1013;669;196;141;1179;597
" ";"35-39 let";50;36;568;116;46;24;607;147;66;47;671;179;52;37;690;209;73;52;855;167;70;31;1247;260;65;28;1799;340;75;58;2840;442;111;64;2829;547;129;93;2571;601;130;79;966;414;164;150;705;408;136;115;889;467;131;78;822;432;176;103;762;443;177;117;906;512;189;128;1120;495
" ";"40-44 let";44;29;407;77;45;26;546;134;64;36;625;143;59;37;609;186;60;59;762;127;79;40;1026;221;62;37;1532;257;58;39;2460;334;107;62;2471;416;146;72;2310;426;118;66;893;308;144;106;692;269;128;77;723;353;103;58;670;326;123;67;652;327;124;88;676;427;151;77;888;405
" ";"45-49 let";51;30;328;71;47;33;387;93;61;40;432;118;46;34;396;128;78;43;494;80;61;26;769;136;59;32;1195;185;62;26;1835;262;100;59;1807;310;111;54;1750;315;112;76;678;205;132;91;551;200;105;53;607;210;125;60;634;231;114;65;567;225;145;51;597;270;129;76;764;273
" ";"50-54 let";30;34;132;43;42;38;236;62;61;52;241;84;48;41;189;114;60;52;286;54;60;50;452;131;67;44;628;136;61;42;1075;143;83;44;1034;174;112;68;990;190;101;64;462;146;118;90;389;162;87;58;478;152;93;70;449;133;98;69;436;138;124;68;425;166;115;57;506;189
" ";"55-59 let";33;30;61;21;40;28;100;33;55;34;122;52;48;38;128;62;51;45;90;36;50;49;194;80;51;44;241;108;58;76;361;100;95;74;428;122;116;79;367;112;102;92;212;96;132;142;219;68;105;88;262;59;96;70;233;76;90;62;232;97;103;49;254;106;97;42;289;96
" ";"60-64 let";58;25;28;19;45;40;55;33;69;50;54;36;58;38;58;45;77;52;55;35;67;41;78;52;59;45;79;51;92;58;126;73;83;46;191;113;98;88;131;72;120;76;110;60;142;164;113;69;139;135;109;62;97;94;123;65;92;85;101;68;92;76;111;61;83;72;132;58
" ";"65-69 let";37;26;7;13;21;18;22;20;38;31;31;25;33;33;36;28;52;27;24;33;49;16;41;43;39;18;48;64;68;29;84;52;69;52;120;73;80;38;74;60;87;53;64;36;113;77;56;39;107;57;68;39;84;51;60;39;74;71;65;47;84;60;66;43;94;70;79;48
" ";"70-74 let";14;15;9;8;18;15;15;20;17;17;16;28;25;19;13;29;25;17;11;20;27;23;26;26;17;16;41;35;20;18;37;56;32;36;52;68;44;43;31;35;45;39;29;34;58;34;37;35;40;33;44;32;47;29;33;24;37;36;40;30;37;36;34;19;46;30;43;24
" ";"75-79 let";2;7;8;9;7;13;14;9;15;17;12;25;8;15;8;22;16;8;9;8;14;13;17;29;11;12;21;27;6;11;26;28;19;15;36;47;27;29;14;20;29;32;19;17;39;42;14;19;14;17;19;20;21;25;13;29;37;14;24;32;25;14;20;25;33;17;33;22
" ";"80-84 let";1;2;2;12;2;3;3;4;5;9;5;8;2;9;9;10;4;8;1;7;2;10;10;10;6;5;12;13;4;7;12;15;7;13;25;30;13;16;12;21;13;18;7;23;10;22;9;18;13;17;11;17;10;11;11;18;7;9;15;12;11;10;14;15;8;18;5;18
" ";"85 + let";1;4;1;5;1;2;1;5;2;4;3;11;0;4;4;14;2;5;0;2;1;6;3;11;2;2;3;7;4;3;9;14;5;10;4;27;7;20;13;12;5;17;9;24;6;21;7;11;5;15;7;16;4;11;7;18;4;12;3;17;8;7;9;20;5;15;8;12
" ";"Povpre迫a starost";41.0;39.7;32.6;29.7;39.1;37.7;33.3;29.8;39.3;38.6;33.1;31.0;38.2;38.7;32.6;31.6;38.7;39.1;32.5;29.3;33.9;32.8;32.4;30.7;30.9;29.0;32.4;31.2;37.9;35.3;32.8;30.0;33.5;32.2;33.0;30.5;37.0;35.7;32.8;29.7;37.9;37.5;33.0;29.7;39.4;41.1;33.3;29.7;37.8;37.7;33.2;29.3;40.4;40.3;32.9;29.4;39.2;37.1;32.7;29.9;38.7;36.2;32.0;29.7;38.6;36.7;33.2;29.5
"Odseljeni v tujino"
" ";"0-4 let";33;24;11;7;32;43;7;6;78;47;12;15;70;53;17;17;70;42;27;42;58;46;23;15;80;75;56;51;76;80;105;87;58;61;50;33;85;75;84;66;178;163;100;112;170;153;57;72;203;185;62;68;238;238;74;62;300;275;89;62;314;251;104;96;304;277;108;93
" ";"5-9 let";24;23;37;26;36;31;21;11;55;52;26;19;43;44;26;21;38;43;31;26;37;51;21;13;55;56;56;41;62;62;76;80;80;79;59;67;82;78;113;93;85;81;100;79;111;86;71;51;182;169;58;58;182;198;77;59;240;240;75;62;261;249;77;83;239;226;120;102
" ";"10-14 let";25;19;55;29;41;26;23;12;41;45;20;31;34;21;28;31;21;24;17;32;25;42;28;27;57;47;38;51;85;74;64;80;123;91;45;45;63;76;110;75;80;46;95;67;73;81;53;40;148;137;49;47;145;130;53;51;170;149;76;63;192;166;83;67;165;201;105;77
" ";"15-19 let";77;29;82;38;59;31;61;54;72;61;81;76;50;48;86;43;47;46;231;60;41;57;257;75;55;63;319;90;102;99;248;127;96;110;105;75;58;53;236;118;59;58;168;119;77;73;71;85;182;157;84;56;146;118;76;72;131;117;100;78;159;131;97;75;158;132;136;99
" ";"20-24 let";97;96;122;37;75;64;514;147;110;129;635;316;83;76;369;318;117;94;935;211;64;83;1210;151;97;109;2159;298;121;141;1778;459;111;128;770;206;126;142;2232;367;110;87;1439;401;144;124;693;262;215;214;441;222;276;234;336;250;292;294;350;303;312;334;334;297;376;420;323;306
" ";"25-29 let";118;136;215;54;93;114;605;89;157;179;699;239;117;143;433;277;208;168;952;231;127;176;1130;127;180;217;1821;222;188;255;1670;424;184;269;964;242;220;229;2559;386;187;226;1842;408;213;244;946;288;404;398;725;294;479;466;578;311;607;603;607;336;723;738;525;317;754;839;590;313
" ";"30-34 let";79;99;223;58;59;79;500;61;135;177;600;150;111;110;511;224;190;155;769;145;106;153;862;104;159;189;1358;208;179;218;1268;321;240;275;760;234;277;215;1891;325;252;241;1384;309;287;304;820;218;524;503;655;217;516;517;556;242;621;549;560;280;680;612;581;248;714;622;637;281
" ";"35-39 let";75;61;229;49;63;50;361;59;101;118;443;149;71;87;379;174;104;83;649;116;95;100;662;87;123;141;1089;135;119;155;1074;252;230;264;848;144;189;164;1602;219;228;188;1154;230;264;230;642;169;468;480;534;194;484;410;483;181;507;369;494;205;533;417;518;201;510;408;555;225
" ";"40-44 let";55;47;146;26;58;45;292;49;100;94;368;107;71;49;295;99;89;65;432;76;72;74;635;79;119;100;881;146;128;114;887;216;213;163;771;94;190;118;1464;165;167;124;1062;181;225;141;638;128;372;328;489;153;360;288;390;144;375;258;437;170;420;272;468;163;400;284;493;170
" ";"45-49 let";63;62;123;23;44;50;150;39;74;74;193;74;59;57;204;150;71;53;375;50;90;55;450;46;79;65;736;105;108;63;816;156;165;139;660;85;130;91;1200;116;158;103;809;152;198;124;549;98;363;271;481;108;286;228;348;106;315;199;400;113;301;193;416;123;300;177;428;156
" ";"50-54 let";43;48;94;14;48;45;92;21;106;135;109;46;75;69;43;52;75;82;198;60;68;72;202;51;75;87;478;100;84;86;559;109;152;156;415;50;119;79;742;96;121;95;609;130;173;110;405;93;270;200;316;89;249;204;275;72;215;162;305;95;246;120;323;72;274;155;367;83
" ";"55-59 let";28;33;76;20;50;42;42;18;89;79;44;33;51;59;34;33;62;62;64;42;73;68;97;26;86;105;236;65;96;110;303;85;201;263;198;51;116;101;327;53;121;104;321;105;168;114;290;54;227;242;253;60;221;178;241;57;182;123;257;60;160;85;274;63;132;83;264;69
" ";"60-64 let";39;33;83;11;39;32;53;9;76;55;46;25;41;45;17;22;56;49;58;28;63;47;39;15;59;59;108;40;68;77;153;54;193;181;114;39;104;97;122;51;127;97;226;59;157;147;221;37;255;301;192;37;188;237;197;49;172;152;242;39;128;118;228;50;117;101;266;40
" ";"65-69 let";24;20;28;9;28;19;20;9;50;49;16;21;35;31;37;8;44;17;45;23;32;27;27;8;50;37;43;35;58;62;88;49;142;122;53;29;79;56;81;34;66;67;117;48;112;66;106;35;190;141;91;26;122;117;69;24;97;94;115;28;113;102;125;35;108;80;141;30
" ";"70-74 let";15;9;21;16;10;14;3;11;20;25;6;12;24;23;5;6;30;16;13;10;19;22;13;10;19;15;17;18;31;31;33;34;73;81;31;34;71;52;27;30;48;48;52;36;62;66;38;28;95;106;38;21;91;66;52;30;70;76;75;23;65;58;67;28;51;44;59;13
" ";"75-79 let";7;8;14;10;6;11;7;4;11;9;6;9;14;11;3;3;16;10;11;15;9;13;9;8;8;15;7;16;10;18;29;28;40;37;17;20;38;45;16;16;37;40;19;28;36;45;21;14;66;66;8;19;38;43;24;18;42;42;25;22;46;46;41;18;44;21;32;24
" ";"80-84 let";2;3;8;10;2;2;7;6;7;7;4;7;3;6;4;5;3;12;7;13;2;6;7;6;9;4;4;6;4;9;20;21;7;23;8;10;20;34;9;16;22;29;13;25;26;27;8;17;37;45;5;16;24;29;10;13;22;30;16;18;18;37;16;20;28;34;8;12
" ";"85 + let";2;3;3;4;0;1;2;4;4;3;2;6;0;3;1;5;2;1;4;6;1;3;5;3;5;4;4;9;4;1;2;10;8;8;6;11;17;28;17;13;18;44;12;21;14;34;12;15;13;34;4;17;14;29;4;11;18;21;10;17;20;34;8;18;11;29;11;18
" ";"Povpre迫a starost";34.7;35.8;37.5;35.8;35.1;35.3;33.5;33.4;36.7;36.9;33.2;33.0;35.5;36.4;33.8;33.1;36.2;36.0;33.4;33.6;37.6;35.6;33.1;33.6;35.8;35.5;33.3;34.3;35.5;35.4;34.7;33.6;41.3;41.1;36.8;34.4;39.2;38.7;34.6;32.9;37.6;38.1;35.7;34.3;38.9;38.1;37.8;34.3;38.6;39.1;38.1;34.8;36.5;36.4;38.4;34.1;34.5;33.6;39.1;34.1;33.7;32.8;39.4;33.6;33.5;31.5;38.8;33.0

"Vir: Statisti迫i urad Republike Slovenije. "
" "
"Za leto 2008 in naprej so podatki pripravljeni skladno z definicijo "
"prebivalstva Slovenije, objavljeno leta 2008. "
" "
"Do konca leta 2007 so podatki o odseljenih tujih dr료vljanih ocena "
"Statisti迫ega urada Republike Slovenije. "
" "

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=9518 target=_blank) Metodolo뚊a pojasnila "

"Starost je 搏s, ki je pretekel od rojstva osebe do opazovanega "
"dogodka (selitve). Prikazana je v dopolnjenih letih starosti."

"Povpre迫a starost oseb ob dolo泊nih dogodkih oziroma 搏sovnih "
"presekih je tehtana aritmeti迫a sredina starosti dolo泊ne skupine "
"prebivalstva. Izra拌navamo jo iz absolutnih podatkov. Pri izra拌nu "
"upo뚒evamo kot ute룔 sredine starostnih razredov. "
" "

